ds,language,topic,repo_count
2022-01-01,go,webhooks,2
2022-01-01,go,websocket-server,2
2022-01-01,go,worker-pool,2
2022-01-01,go,workflow-automation,2
2022-01-01,go,ws,2
2022-01-01,go,x11,2
2022-01-01,go,youtube,2
2022-01-01,go,youtube-dl,2
2022-01-01,go,zero-configuration,2
2022-01-01,go,zero-trust,2
2022-01-01,go,zsh,2
2022-01-01,haskell,haskell,34
2022-01-01,haskell,functional-programming,4
2022-01-01,haskell,programming-language,4
2022-01-01,haskell,compiler,3
2022-01-01,haskell,frp,3
2022-01-01,haskell,hacktoberfest,3
2022-01-01,haskell,aeson,2
2022-01-01,haskell,blockchain,2
2022-01-01,haskell,dotfiles,2
2022-01-01,haskell,dsl,2
2022-01-01,haskell,functional-reactive-programming,2
2022-01-01,haskell,github,2
2022-01-01,haskell,library,2
2022-01-01,haskell,nix,2
2022-01-01,haskell,reactive,2
2022-01-01,haskell,reflex-frp,2
2022-01-01,haskell,streaming,2
2022-01-01,haskell,unicode,2
2022-01-01,haskell,web,2
2022-01-01,lean,lean4,2
2022-01-01,ocaml,ocaml,7
2022-01-01,ocaml,language,3
2022-01-01,ocaml,compiler,2
2022-01-01,ocaml,coq,2
2022-01-01,ocaml,programming-language,2
2022-01-01,ocaml,theorem-proving,2
2022-01-01,rust,rust,339
2022-01-01,rust,hacktoberfest,44
2022-01-01,rust,rust-lang,32
2022-01-01,rust,wasm,26
2022-01-01,rust,cli,25
2022-01-01,rust,blockchain,23
2022-01-01,rust,linux,17
2022-01-01,rust,async,14
2022-01-01,rust,javascript,14
2022-01-01,rust,rust-library,14
2022-01-01,rust,webassembly,13
2022-01-01,rust,python,12
2022-01-01,rust,rust-crate,12
2022-01-01,rust,typescript,12
2022-01-01,rust,database,11
2022-01-01,rust,parser,11
2022-01-01,rust,sql,10
2022-01-01,rust,terminal,10
2022-01-01,rust,compiler,9
2022-01-01,rust,cryptography,9
2022-01-01,rust,docker,9
2022-01-01,rust,embedded,9
2022-01-01,rust,http,9
2022-01-01,rust,security,9
2022-01-01,rust,web,9
2022-01-01,rust,windows,8
2022-01-01,rust,actix,7
2022-01-01,rust,actix-web,7
2022-01-01,rust,advent-of-code,7
2022-01-01,rust,command-line-tool,7
2022-01-01,rust,game,7
2022-01-01,rust,gamedev,7
2022-01-01,rust,interpreter,7
2022-01-01,rust,iot,7
2022-01-01,rust,macos,7
2022-01-01,rust,nodejs,7
2022-01-01,rust,postgresql,7
2022-01-01,rust,server,7
2022-01-01,rust,advent-of-code-2021,6
2022-01-01,rust,bot,6
2022-01-01,rust,cargo,6
2022-01-01,rust,command-line,6
2022-01-01,rust,distributed-systems,6
2022-01-01,rust,ethereum,6
2022-01-01,rust,image-processing,6
2022-01-01,rust,protocol,6
2022-01-01,rust,substrate,6
2022-01-01,rust,3d,5
2022-01-01,rust,algorithms,5
2022-01-01,rust,android,5
2022-01-01,rust,aws,5
2022-01-01,rust,cryptocurrency,5
2022-01-01,rust,gui,5
2022-01-01,rust,http-server,5
2022-01-01,rust,kubernetes,5
2022-01-01,rust,language,5
2022-01-01,rust,library,5
2022-01-01,rust,machine-learning,5
2022-01-01,rust,network,5
2022-01-01,rust,polkadot,5
2022-01-01,rust,virtual-machine,5
2022-01-01,rust,vulkan,5
2022-01-01,rust,audio,4
2022-01-01,rust,developer-tools,4
2022-01-01,rust,elixir,4
2022-01-01,rust,framework,4
2022-01-01,rust,game-development,4
2022-01-01,rust,git,4
2022-01-01,rust,gpu,4
2022-01-01,rust,graphics,4
2022-01-01,rust,graphql,4
2022-01-01,rust,gtk,4
2022-01-01,rust,lua,4
2022-01-01,rust,math,4
2022-01-01,rust,music,4
2022-01-01,rust,mysql,4
2022-01-01,rust,p2p,4
2022-01-01,rust,proxy,4
2022-01-01,rust,rustlang,4
2022-01-01,rust,sqlite,4
2022-01-01,rust,testing,4
2022-01-01,rust,tui,4
2022-01-01,rust,tutorial,4
2022-01-01,rust,visualization,4
2022-01-01,rust,webgl,4
2022-01-01,rust,2d,3
2022-01-01,rust,ai,3
2022-01-01,rust,algorithm,3
2022-01-01,rust,axum,3
2022-01-01,rust,bitcoin,3
2022-01-01,rust,bpf,3
2022-01-01,rust,chess,3
2022-01-01,rust,chess-engine,3
2022-01-01,rust,ci,3
2022-01-01,rust,cli-tool,3
2022-01-01,rust,cosmos,3
2022-01-01,rust,curve25519,3
2022-01-01,rust,data-science,3
2022-01-01,rust,data-structures,3
2022-01-01,rust,deno,3
2022-01-01,rust,deployment,3
2022-01-01,rust,discord,3
2022-01-01,rust,distributed,3
2022-01-01,rust,distributed-computing,3
2022-01-01,rust,ebpf,3
2022-01-01,rust,ecmascript,3
2022-01-01,rust,email,3
2022-01-01,rust,emulator,3
2022-01-01,rust,encryption,3
2022-01-01,rust,esp32,3
2022-01-01,rust,fuzzing,3
2022-01-01,rust,game-engine,3
2022-01-01,rust,golang,3
2022-01-01,rust,graph,3
